评分,名字,导演,上映时间,评分
12,星际穿越,"主演：马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",上映时间：2014-11-12,9.3
13,千与千寻,"主演：柊瑠美,周冬雨,入野自由",上映时间：2019-06-21,9.3
14,阿甘正传,"主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯",上映时间：1994-07-06(美国),9.4
15,触不可及,"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",上映时间：2011-11-02(法国),9.1
16,楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",上映时间：1998(罗马尼亚),8.9
17,寻梦环游记,"主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",上映时间：2017-11-24,9.6
18,辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",上映时间：1993-11-30(美国),9.2
19,小丑,"主演：华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温",上映时间：2019-10-04(美国),8.6
20,摔跤吧！爸爸,"主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",上映时间：2017-05-05,9.8
11,怦然心动,"主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹•奎因",上映时间：2010-07-26(美国),8.9
12,星际穿越,"主演：马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",上映时间：2014-11-12,9.3
13,千与千寻,"主演：柊瑠美,周冬雨,入野自由",上映时间：2019-06-21,9.3
14,阿甘正传,"主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯",上映时间：1994-07-06(美国),9.4
15,触不可及,"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",上映时间：2011-11-02(法国),9.1
16,楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",上映时间：1998(罗马尼亚),8.9
17,寻梦环游记,"主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",上映时间：2017-11-24,9.6
18,辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",上映时间：1993-11-30(美国),9.2
19,小丑,"主演：华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温",上映时间：2019-10-04(美国),8.6
20,摔跤吧！爸爸,"主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",上映时间：2017-05-05,9.8
